จังหวัด,staff_total,elderly,equipment_total,hospital_gold,opd,ipd
กรุงเทพมหานคร,73850,1456740,35961,1946,188134.8531,19375.05205
กระบี่,2013,72843,1185,224,3506.045455,797.8
กาญจนบุรี,3311,186627,2171,295,6364.27972,1525.816438
กาฬสินธุ์,3393,180552,2037,518,6001.839161,1439.416438
กำแพงเพชร,2575,206479,1239,368,5931.821678,1014.526027
ขอนแก่น,11888,395680,6064,818,19425.51049,4373.860274
จันทบุรี,3415,87509,1874,241,8048.541958,1205.260274
ฉะเชิงเทรา,3223,133307,1987,233,7112.758741,1277.465753
ชลบุรี,11436,317126,6531,629,27577.30769,3706.824658
ชัยนาท,1429,62252,753,141,2985.611888,504.6493151
ชัยภูมิ,3513,211949,2466,584,7677.667832,1414.347945
ชุมพร,2324,80183,1430,183,4752.818182,1049.610959
เชียงราย,5779,294813,3232,702,12250.97902,2015.950685
เชียงใหม่,12952,451761,7785,868,25824.32867,4808.953425
ตรัง,3181,108775,1692,286,6354.241259,1108.438356
ตราด,1242,43483,753,111,2087.611888,461.6931507
ตาก,2734,137476,1670,266,5459.877622,1163.627397
นครนายก,1963,40935,1037,103,3328.286713,666.8164384
นครปฐม,4999,187892,2770,328,13580.37063,1513.317808
นครพนม,2346,124668,1454,321,4378.29021,929.460274
นครราชสีมา,11642,575128,6994,949,23203.25175,4488.189041
นครศรีธรรมราช,6302,264846,4024,730,13030.27972,2626.709589
นครสวรรค์,4705,235671,2537,473,10760.95105,1736.057534
นนทบุรี,8482,296396,4330,468,17835.88811,2285.484932
นราธิวาส,2954,130370,1637,285,3889.465035,1172.989041
น่าน,2494,115400,1316,254,3462.828671,897.5780822
บึงกาฬ,1278,82400,815,159,2201.244755,514.3863014
บุรีรัมย์,5530,273882,3337,601,11488.83217,2332.890411
ปทุมธานี,7018,289629,3987,409,19495.18531,2564.00274
ประจวบคีรีขันธ์,2137,104906,1484,162,5737.63986,942.4109589
ปราจีนบุรี,2066,104890,1162,188,3384.395105,727.6739726
ปัตตานี,3173,113580,1368,292,4695.097902,1044.567123
พระนครศรีอยุธยา,3647,193469,2192,389,9996.786713,1229.917808
พะเยา,2376,93714,1170,336,4739.517483,840.939726
พังงา,1366,40081,726,138,2520.251748,397.2410959
พัทลุง,2265,86202,1149,244,5183.552448,785.8684932
พิจิตร,2210,131168,1209,258,4538.332168,910.8219178
พิษณุโลก,5724,236706,3038,449,8903.171329,1839.263014
เพชรบุรี,2115,110524,1153,254,4503.244755,666.3972603
เพชรบูรณ์,3143,235811,1822,555,5045.115385,1396.682192
แพร่,2220,95266,1166,317,4151.181818,760.490411
ภูเก็ต,3203,100895,1663,176,6509.087413,1119.271233
มหาสารคาม,3623,176569,1885,504,7373.356643,1262.991781
มุกดาหาร,1567,101288,898,167,2847.311189,602.4739726
แม่ฮ่องสอน,1077,64036,617,107,2025.902098,387.2356164
ยะลา,2712,85031,1292,226,5199.671329,970.7561644
ยโสธร,2029,102598,1101,285,4365.447552,777.8712329
ระนอง,862,45288,431,77,2050.923077,292.0410959
ระยอง,4135,161668,2472,370,10630.5035,1629.123288
ราชบุรี,4364,176962,2785,282,8375.51049,1765.827397
ร้อยเอ็ด,4767,240691,2827,903,10244.11189,1800.69863
ลพบุรี,3068,165292,2090,300,7642.192308,1285.709589
ลำปาง,3990,181332,1907,427,8401.751748,1373.852055
ลำพูน,2084,97707,1298,323,6021.269231,706.7616438
เลย,2612,123546,1587,344,5467.230769,1136.158904
ศรีสะเกษ,4871,212438,2953,650,8245.643357,2006.832877
สกลนคร,4380,210063,2671,543,9101.524476,1961.465753
สงขลา,8704,290261,4499,628,16798.3007,3196.142466
สตูล,1437,52531,688,119,2827.814685,420.1068493
สมุทรปราการ,5720,386458,4189,437,20292.73077,2390.142466
สมุทรสงคราม,882,37404,492,93,1566.713287,276.6986301
สมุทรสาคร,4150,139891,2754,186,13298.67133,2117.369863
สระแก้ว,2150,105368,1388,202,4211.251748,986.7424658
สระบุรี,3508,163118,2146,281,8520.083916,1411.676712
สิงห์บุรี,1233,39487,740,111,2666.188811,415.5726027
สุโขทัย,2229,160351,1278,305,4322.468531,809.6739726
สุพรรณบุรี,3659,191461,2278,283,10836.62937,1331.331507
สุราษฎร์ธานี,6207,188304,3483,453,11719.97203,2312.794521
สุรินทร์,4628,238398,3081,468,10497.36014,2178.309589
หนองคาย,2016,105058,1359,199,3220.234266,898.0767123
หนองบัวลำภู,1394,108740,804,191,3019.13986,526.6109589
อ่างทอง,1310,52696,818,132,2547.08042,467.6794521
อำนาจเจริญ,1371,65212,802,198,3030.965035,569.7808219
อุดรธานี,6330,288957,3727,651,13314.16434,2557.063014
อุตรดิตถ์,2398,105086,1130,351,3310.944056,802.1287671
อุทัยธานี,1493,71108,905,156,3659.909091,608.2219178
อุบลราชธานี,8657,401029,5081,870,16346.77622,3863.153425
